torneo,anno,tipo,sezione,turni,rango,nome,fed,rating,punti,performance,gio,nato,std,eta
138146,2014,blitz,open,,1,Carlsen Magnus,NOR,2837.0,17.0,,carlsen magnus,1990.0,2823.0,24.0
138146,2014,blitz,open,,2,Nepomniachtchi Ian,RUS,2816.0,16.0,,ian nepomniachtchi,1990.0,2719.0,24.0
138146,2014,blitz,open,,3,Nakamura Hikaru,USA,2879.0,16.0,,hikaru nakamura,1987.0,2792.0,27.0
138146,2014,blitz,open,,4,Le Quang Liem,VIE,2817.0,14.0,,le liem quang,1991.0,2732.0,23.0
138146,2014,blitz,open,,5,Mamedyarov Shakhriyar,AZE,2822.0,13.5,,mamedyarov shakhriyar,1985.0,2720.0,29.0
138146,2014,blitz,open,,6,Aronian Levon,ARM,2863.0,13.5,,aronian levon,1982.0,2725.0,32.0
138146,2014,blitz,open,,7,Anand Viswanathan,IND,2827.0,13.5,,anand viswanathan,1969.0,2739.0,45.0
138146,2014,blitz,open,,8,Mamedov Rauf,AZE,2766.0,13.5,,mamedov rauf,1988.0,2631.0,26.0
138146,2014,blitz,open,,9,Sargissian Gabriel,ARM,2689.0,13.0,,gabriel sargissian,1983.0,2610.0,31.0
138146,2014,blitz,open,,10,Morozevich Alexander,RUS,2741.0,13.0,,alexander morozevich,1977.0,2654.0,37.0
138146,2014,blitz,open,,11,Svidler Peter,RUS,2757.0,13.0,,peter svidler,1976.0,2682.0,38.0
138146,2014,blitz,open,,12,Yudin Sergei,RUS,2559.0,12.5,,sergei yudin,1986.0,2458.0,28.0
138146,2014,blitz,open,,13,Dreev Aleksey,RUS,2701.0,12.5,,aleksey dreev,1969.0,2577.0,45.0
138146,2014,blitz,open,,14,Harikrishna P.,IND,2669.0,12.5,,harikrishna p.,,,
138146,2014,blitz,open,,15,Wojtaszek Radoslaw,POL,2726.0,12.5,,radoslaw wojtaszek,1987.0,2658.0,27.0
138146,2014,blitz,open,,16,Korobov Anton,UKR,2758.0,12.5,,anton korobov,1985.0,2610.0,29.0
138146,2014,blitz,open,,17,Grischuk Alexander,RUS,2801.0,12.5,,alexander grischuk,1983.0,2628.0,31.0
138146,2014,blitz,open,,18,Iturrizaga Bonelli Eduardo,VEN,2722.0,12.5,,bonelli eduardo iturrizaga,1989.0,2595.0,25.0
138146,2014,blitz,open,,19,Bacrot Etienne,FRA,2744.0,12.5,,bacrot etienne,1983.0,2620.0,31.0
138146,2014,blitz,open,,20,Vitiugov Nikita,RUS,2674.0,12.5,,nikita vitiugov,1987.0,2666.0,27.0
138146,2014,blitz,open,,21,Radjabov Teimour,AZE,2706.0,12.5,,radjabov teimour,1987.0,2689.0,27.0
138146,2014,blitz,open,,22,Tomashevsky Evgeny,RUS,2725.0,12.5,,evgeny tomashevsky,1987.0,2681.0,27.0
138146,2014,blitz,open,,23,Malakhov Vladimir,RUS,2700.0,12.5,,malakhov vladimir,1980.0,2597.0,34.0
138146,2014,blitz,open,,24,Nguyen Ngoc Truong Son,VIE,2746.0,12.5,,ngoc nguyen son truong,1990.0,2600.0,24.0
138146,2014,blitz,open,,25,Eljanov Pavel,UKR,2674.0,12.5,,eljanov pavel,1983.0,2664.0,31.0
138146,2014,blitz,open,,26,Polgar Judit,HUN,2673.0,12.0,,judit polgar,1976.0,2675.0,38.0
138146,2014,blitz,open,,27,Meier Georg,GER,2663.0,12.0,,georg meier,1987.0,2612.0,27.0
138146,2014,blitz,open,,28,Fedoseev Vladimir,RUS,2628.0,12.0,,fedoseev vladimir,1995.0,2691.0,19.0
138146,2014,blitz,open,,29,Andriasian Zaven,ARM,2633.0,12.0,,andriasian zaven,1989.0,2528.0,25.0
138146,2014,blitz,open,,30,Matlakov Maxim,RUS,2618.0,12.0,,matlakov maxim,1991.0,2596.0,23.0
138146,2014,blitz,open,,31,Cheparinov Ivan,BUL,2636.0,12.0,,cheparinov ivan,1986.0,2631.0,28.0
138146,2014,blitz,open,,32,Vachier-Lagrave Maxime,FRA,2835.0,12.0,,maxime vachier-lagrave,1990.0,2718.0,24.0
138146,2014,blitz,open,,33,Salem A.R. Saleh,UAE,2539.0,12.0,,a.r. saleh salem,1993.0,2616.0,21.0
138146,2014,blitz,open,,34,Dubov Daniil,RUS,2729.0,12.0,,daniil dubov,1996.0,2654.0,18.0
138146,2014,blitz,open,,35,Lu Shanglei,CHN,2668.0,11.5,,lu shanglei,1995.0,2637.0,19.0
138146,2014,blitz,open,,36,Caruana Fabiano,ITA,2697.0,11.5,,caruana fabiano,1992.0,2789.0,22.0
138146,2014,blitz,open,,37,Safarli Eltaj,AZE,2661.0,11.5,,eltaj safarli,1992.0,2616.0,22.0
138146,2014,blitz,open,,38,Fressinet Laurent,FRA,2705.0,11.5,,fressinet laurent,1981.0,2610.0,33.0
138146,2014,blitz,open,,39,Van Wely Loek,NED,2647.0,11.5,,loek van wely,1972.0,2643.0,42.0
138146,2014,blitz,open,,40,Riazantsev Alexander,RUS,2703.0,11.5,,alexander riazantsev,1985.0,2590.0,29.0
138146,2014,blitz,open,,41,Yu Yangyi,CHN,2771.0,11.5,,yangyi yu,1994.0,2710.0,20.0
138146,2014,blitz,open,,42,Zhigalko Sergei,BLR,2669.0,11.5,,sergei zhigalko,1989.0,2572.0,25.0
138146,2014,blitz,open,,43,Laznicka Viktor,CZE,2650.0,11.0,,laznicka viktor,1988.0,2585.0,26.0
138146,2014,blitz,open,,44,Wang Hao,CHN,2668.0,11.0,,hao wang,1989.0,2694.0,25.0
138146,2014,blitz,open,,45,Anton Guijarro David,ESP,2581.0,11.0,,anton david guijarro,1995.0,2632.0,19.0
138146,2014,blitz,open,,46,Jobava Baadur,GEO,2628.0,11.0,,baadur jobava,1983.0,2576.0,31.0
138146,2014,blitz,open,,47,Savchenko Boris,RUS,2684.0,11.0,,boris savchenko,1986.0,2466.0,28.0
138146,2014,blitz,open,,48,Al-Modiahki Mohamad,QAT,2559.0,11.0,,al-modiahki mohamad,,,
138146,2014,blitz,open,,49,Najer Evgeniy,RUS,2707.0,11.0,,evgeniy najer,1977.0,2580.0,37.0
138146,2014,blitz,open,,50,Naiditsch Arkadij,GER,2643.0,11.0,,arkadij naiditsch,1985.0,2574.0,29.0
138146,2014,blitz,open,,51,Kryvoruchko Yuriy,UKR,2628.0,11.0,,kryvoruchko yuriy,1986.0,2614.0,28.0
138146,2014,blitz,open,,52,Bologan Viktor,MDA,2635.0,11.0,,bologan viktor,,,
138146,2014,blitz,open,,53,Ragger Markus,AUT,2587.0,10.5,,markus ragger,1988.0,2573.0,26.0
138146,2014,blitz,open,,54,Onischuk Vladimir,UKR,2565.0,10.5,,onischuk vladimir,,,
138146,2014,blitz,open,,55,Potkin Vladimir,RUS,2629.0,10.5,,potkin vladimir,1982.0,2548.0,32.0
138146,2014,blitz,open,,56,Sokolov Ivan,NED,2583.0,10.5,,ivan sokolov,1968.0,2559.0,46.0
138146,2014,blitz,open,,57,Guseinov Gadir,AZE,2657.0,10.5,,gadir guseinov,1986.0,2636.0,28.0
138146,2014,blitz,open,,58,Inarkiev Ernesto,RUS,2657.0,10.5,,ernesto inarkiev,1985.0,2637.0,29.0
138146,2014,blitz,open,,59,Moiseenko Alexander,UKR,2614.0,10.5,,alexander moiseenko,1980.0,2569.0,34.0
138146,2014,blitz,open,,60,Kasimdzhanov Rustam,UZB,2657.0,10.5,,kasimdzhanov rustam,1979.0,2665.0,35.0
138146,2014,blitz,open,,61,Karjakin Sergey,RUS,2866.0,10.5,,karjakin sergey,1990.0,2750.0,24.0
138146,2014,blitz,open,,62,Maletin Pavel,RUS,2607.0,10.5,,maletin pavel,1986.0,2562.0,28.0
138146,2014,blitz,open,,63,Efimenko Zahar,UKR,2714.0,10.5,,efimenko zahar,1985.0,2548.0,29.0
138146,2014,blitz,open,,64,Ganguly Surya Shekhar,IND,2624.0,10.5,,ganguly shekhar surya,1983.0,2562.0,31.0
138146,2014,blitz,open,,65,Georgiev Kiril,BUL,2639.0,10.5,,georgiev kiril,1965.0,2520.0,49.0
138146,2014,blitz,open,,66,Amin Bassem,EGY,2667.0,10.0,,amin bassem,1988.0,2608.0,26.0
138146,2014,blitz,open,,67,Kovalev Vladislav,BLR,2548.0,10.0,,kovalev vladislav,1994.0,2565.0,20.0
138146,2014,blitz,open,,68,Movsesian Sergei,ARM,2730.0,10.0,,movsesian sergei,1978.0,2594.0,36.0
138146,2014,blitz,open,,69,Sandipan Chanda,IND,2607.0,10.0,,chanda sandipan,1983.0,2470.0,31.0
138146,2014,blitz,open,,70,Adly Ahmed,EGY,2610.0,10.0,,adly ahmed,1987.0,2582.0,27.0
138146,2014,blitz,open,,71,Durarbayli Vasif,AZE,2613.0,10.0,,durarbayli vasif,1992.0,2611.0,22.0
138146,2014,blitz,open,,72,Shyam Sundar M.,IND,2412.0,10.0,,m. shyam sundar,1992.0,2498.0,22.0
138146,2014,blitz,open,,73,Hansen Eric,CAN,2576.0,10.0,,eric hansen,1992.0,2609.0,22.0
138146,2014,blitz,open,,74,Lenic Luka,SLO,2639.0,10.0,,lenic luka,1988.0,2626.0,26.0
138146,2014,blitz,open,,75,Nielsen Peter Heine,DEN,2654.0,10.0,,heine nielsen peter,1973.0,2614.0,41.0
138146,2014,blitz,open,,76,Vallejo Pons Francisco,ESP,2628.0,9.5,,francisco pons vallejo,1982.0,2644.0,32.0
138146,2014,blitz,open,,77,Gundavaa Bayarsaikhan,MGL,2616.0,9.5,,bayarsaikhan gundavaa,1989.0,2468.0,25.0
138146,2014,blitz,open,,78,Ringoir Tanguy,BEL,2492.0,9.5,,ringoir tanguy,1994.0,2529.0,20.0
138146,2014,blitz,open,,79,Moradiabadi Elshan,IRI,2599.0,9.5,,elshan moradiabadi,1985.0,2477.0,29.0
138146,2014,blitz,open,,80,Ipatov Alexander,TUR,2629.0,9.5,,alexander ipatov,1994.0,2095.0,20.0
138146,2014,blitz,open,,81,Ghaem Maghami Ehsan,IRI,2581.0,9.5,,ehsan ghaem maghami,1982.0,2442.0,32.0
138146,2014,blitz,open,,82,Vahidov Tair,UZB,2503.0,9.5,,tair vahidov,1963.0,2247.0,51.0
138146,2014,blitz,open,,83,Mchedlishvili Mikheil,GEO,2663.0,9.5,,mchedlishvili mikheil,1979.0,2550.0,35.0
138146,2014,blitz,open,,84,Breckenridge Steven James,USA,2279.0,9.5,,breckenridge james steven,,,
138146,2014,blitz,open,,85,Tkachiev Vladislav,FRA,2730.0,9.5,,tkachiev vladislav,1973.0,2660.0,41.0
138146,2014,blitz,open,,86,Aleksandrov Aleksej,BLR,2572.0,9.5,,aleksandrov aleksej,1973.0,2444.0,41.0
138146,2014,blitz,open,,87,Goloshchapov Alexander,UKR,2631.0,9.5,,alexander goloshchapov,1978.0,2578.0,36.0
138146,2014,blitz,open,,88,Glek Igor,GER,2523.0,9.5,,glek igor,1961.0,2424.0,53.0
138146,2014,blitz,open,,89,Bartel Mateusz,POL,2562.0,9.0,,bartel mateusz,1985.0,2549.0,29.0
138146,2014,blitz,open,,90,Volokitin Andrei,UKR,2638.0,9.0,,andrei volokitin,1986.0,2618.0,28.0
138146,2014,blitz,open,,91,Fier Alexandr,BRA,2581.0,9.0,,alexandr fier,1988.0,2537.0,26.0
138146,2014,blitz,open,,92,Debashis Das,IND,2385.0,9.0,,das debashis,1962.0,1497.0,52.0
138146,2014,blitz,open,,93,Salgado Lopez Ivan,ESP,2540.0,9.0,,ivan lopez salgado,1991.0,2591.0,23.0
138146,2014,blitz,open,,94,Al-Sayed Mohammed,QAT,2404.0,9.0,,al-sayed mohammed,1981.0,2484.0,33.0
138146,2014,blitz,open,,95,Vakhidov Jahongir,UZB,2477.0,9.0,,jahongir vakhidov,,,
138146,2014,blitz,open,,96,Kayumov Sergey,UZB,2511.0,9.0,,kayumov sergey,1981.0,2505.0,33.0
138146,2014,blitz,open,,97,Nezad Husein Aziz,QAT,2361.0,9.0,,aziz husein nezad,,,
138146,2014,blitz,open,,98,Milov Vadim,SUI,2622.0,8.5,,milov vadim,1972.0,2581.0,42.0
138146,2014,blitz,open,,99,Sriram Jha,IND,2366.0,8.5,,jha sriram,1976.0,2306.0,38.0
138146,2014,blitz,open,,100,Hilwani Talal,SYR,2344.0,8.5,,hilwani talal,,,
138146,2014,blitz,open,,101,Al Qudaimi Basheer,YEM,2414.0,8.5,,al basheer qudaimi,1984.0,2372.0,30.0
138146,2014,blitz,open,,102,Othman A. Moussa,UAE,2317.0,8.5,,a. moussa othman,1975.0,2226.0,39.0
138146,2014,blitz,open,,103,Michalik Peter,SVK,2587.0,8.0,,michalik peter,1990.0,2543.0,24.0
138146,2014,blitz,open,,104,Faisal Abdulla,UAE,2279.0,8.0,,abdulla faisal,,,
138146,2014,blitz,open,,105,Omar Noaman,UAE,2293.0,8.0,,noaman omar,1991.0,2329.0,23.0
